"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"GHA",2001,43644.05617298839954924,17143533.9632223777014586
"GHA",2002,78395.05298355633725041,32750503.130636043783563
"GHA",2003,24955.24902474183991300,10104210.8636993066869365
"GHA",2004,17625.24050636079165203,7676597.7658345371966415
"GHA",2005,41346.40078092683056532,18015842.213374212158694
"GHA",2006,27136.10602603965689191,11820584.841276778704406
"GHA",2007,40172.37055943882919624,17979066.238524415775885
"GHA",2008,37848.66471319065743337,16945653.7334167399168545
"GHA",2009,38252.52538965755813794,18210660.935045205461845
"GHA",2010,19500.00367439767008225,9025273.383176661935077
"GHA",2011,36242.63011312757097281,17527545.137549465802612
"GHA",2012,36625.86841506737907349,18689586.286849328131964
"GHA",2013,81228.45882684907431569,42576776.948440786542919
"GHA",2014,120298.11708457329699126,65551203.134531014789350
"GHA",2015,57407.38759222379279157,31864863.857219119481392
"GHA",2016,119244.56175707406720875,66242206.554693681793802
"GHA",2017,115285.96497551251039090,67178747.570553983671075
"GHA",2018,151445.59492735653548410,89850841.080288396167540
"GHA",2019,88256.57865966983452658,53871287.033063491767143
"GHA",2020,136599.47705515600950179,85270876.395214280589399
"GHA",2021,101378.95468906618784188,66667919.642841216297338
"GHA",2022,118632.27886689080957214,78471634.189307018086470
"GHA",2023,112570.44641022064144924,76328314.358352303504281
