"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"GHA",2001,1699.57326382970040801,798498.783792680008850
"GHA",2002,4438.27418709824126192,2001742.386811340561315
"GHA",2003,1875.10467343907542981,841049.100573529532827
"GHA",2004,1582.79655230024673038,720423.912570436313560
"GHA",2005,3405.59775992663123961,1546059.935244643505086
"GHA",2006,3653.71551413625753371,1599881.086846038480603
"GHA",2007,3015.54559903259154231,1387950.669277777748829
"GHA",2008,2669.65404626653716922,1182426.857031225154604
"GHA",2009,3538.07727370972080425,1625341.342284800846693
"GHA",2010,1647.70245855447697758,747160.812797084138483
"GHA",2011,2771.85162120243955611,1229344.62399720374394
"GHA",2012,2501.19765169427645376,1134684.937460029377876
"GHA",2013,5111.73773409127322618,2270609.856693684937058
"GHA",2014,7455.76141607917202756,3275710.695000671829455
"GHA",2015,3620.56187592450418394,1670340.096180969660310
"GHA",2016,13749.02190429292708053,5896452.710672158536440
"GHA",2017,7689.42825439450748443,3363062.996401769360564
"GHA",2018,12289.37838347338702771,5302781.950682581963820
"GHA",2019,5822.22030763708809631,2568851.567804848324425
"GHA",2020,14272.16155394001390264,6352135.494211729081267
"GHA",2021,10700.36852857355457004,4705706.520862031140496
"GHA",2022,17970.14736938550218727,7899265.111334950948054
"GHA",2023,12745.68390714357437666,5696978.230485395347342
