datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr
4/20/2024 4:00:00 AM,4/20/2024 12:00:00 AM,51297,PECO,,,ZONE,,21.31,21.306534,-0.276823,0.273357,True,1
4/20/2024 5:00:00 AM,4/20/2024 1:00:00 AM,51297,PECO,,,ZONE,,21.48,21.164089,-0.585468,0.269557,True,1
4/20/2024 6:00:00 AM,4/20/2024 2:00:00 AM,51297,PECO,,,ZONE,,18.42,18.914341,0.253203,0.241138,True,1
4/20/2024 7:00:00 AM,4/20/2024 3:00:00 AM,51297,PECO,,,ZONE,,18.34,19.006722,0.348929,0.317793,True,1
4/20/2024 8:00:00 AM,4/20/2024 4:00:00 AM,51297,PECO,,,ZONE,,18.24,18.951583,0.393113,0.318470,True,1
4/20/2024 9:00:00 AM,4/20/2024 5:00:00 AM,51297,PECO,,,ZONE,,18.86,19.521460,0.391628,0.269832,True,1
4/20/2024 10:00:00 AM,4/20/2024 6:00:00 AM,51297,PECO,,,ZONE,,22.26,22.344642,0.235896,-0.151254,True,1
4/20/2024 11:00:00 AM,4/20/2024 7:00:00 AM,51297,PECO,,,ZONE,,24.12,23.229768,-0.903058,0.012826,True,1
4/20/2024 12:00:00 PM,4/20/2024 8:00:00 AM,51297,PECO,,,ZONE,,23.80,23.224366,-0.619609,0.043975,True,1
4/20/2024 1:00:00 PM,4/20/2024 9:00:00 AM,51297,PECO,,,ZONE,,22.63,22.092527,-0.568909,0.031436,True,1
4/20/2024 2:00:00 PM,4/20/2024 10:00:00 AM,51297,PECO,,,ZONE,,19.86,19.136173,-0.745894,0.022067,True,1
4/20/2024 3:00:00 PM,4/20/2024 11:00:00 AM,51297,PECO,,,ZONE,,18.56,17.921085,-0.613612,-0.025303,True,1
4/20/2024 4:00:00 PM,4/20/2024 12:00:00 PM,51297,PECO,,,ZONE,,16.40,16.133850,-0.263697,-0.002453,True,1
4/20/2024 5:00:00 PM,4/20/2024 1:00:00 PM,51297,PECO,,,ZONE,,14.92,14.802794,-0.195819,0.078613,True,1
4/20/2024 6:00:00 PM,4/20/2024 2:00:00 PM,51297,PECO,,,ZONE,,13.92,13.692540,-0.360394,0.132934,True,1
4/20/2024 7:00:00 PM,4/20/2024 3:00:00 PM,51297,PECO,,,ZONE,,13.61,12.697307,-1.016002,0.103309,True,1
4/20/2024 8:00:00 PM,4/20/2024 4:00:00 PM,51297,PECO,,,ZONE,,15.11,14.467622,-0.840335,0.197957,True,1
4/20/2024 9:00:00 PM,4/20/2024 5:00:00 PM,51297,PECO,,,ZONE,,17.54,16.893581,-0.842875,0.196456,True,1
4/20/2024 10:00:00 PM,4/20/2024 6:00:00 PM,51297,PECO,,,ZONE,,22.08,19.823832,-2.480940,0.224772,True,1
4/20/2024 11:00:00 PM,4/20/2024 7:00:00 PM,51297,PECO,,,ZONE,,28.85,27.582063,-1.474793,0.206856,True,1
4/21/2024 12:00:00 AM,4/20/2024 8:00:00 PM,51297,PECO,,,ZONE,,39.14,34.822354,-4.363946,0.046300,True,1
4/21/2024 1:00:00 AM,4/20/2024 9:00:00 PM,51297,PECO,,,ZONE,,33.84,29.024863,-4.820956,0.005819,True,1
4/21/2024 2:00:00 AM,4/20/2024 10:00:00 PM,51297,PECO,,,ZONE,,29.20,24.940222,-4.291751,0.031973,True,1
4/21/2024 3:00:00 AM,4/20/2024 11:00:00 PM,51297,PECO,,,ZONE,,25.98,23.515672,-2.228428,-0.235900,True,1
4/21/2024 4:00:00 AM,4/21/2024 12:00:00 AM,51297,PECO,,,ZONE,,22.07,21.460014,-0.640590,0.030604,True,1
4/21/2024 5:00:00 AM,4/21/2024 1:00:00 AM,51297,PECO,,,ZONE,,22.61,20.839853,-1.645497,-0.124650,True,1
4/21/2024 6:00:00 AM,4/21/2024 2:00:00 AM,51297,PECO,,,ZONE,,21.96,21.640900,-0.197270,-0.121830,True,1
4/21/2024 7:00:00 AM,4/21/2024 3:00:00 AM,51297,PECO,,,ZONE,,22.56,22.469718,-0.033023,-0.057259,True,1
4/21/2024 8:00:00 AM,4/21/2024 4:00:00 AM,51297,PECO,,,ZONE,,21.86,21.266298,-0.530789,-0.062913,True,1
4/21/2024 9:00:00 AM,4/21/2024 5:00:00 AM,51297,PECO,,,ZONE,,22.25,20.587753,-1.482020,-0.180227,True,1
4/21/2024 10:00:00 AM,4/21/2024 6:00:00 AM,51297,PECO,,,ZONE,,24.53,23.321680,-1.103005,-0.105315,True,1
4/21/2024 11:00:00 AM,4/21/2024 7:00:00 AM,51297,PECO,,,ZONE,,23.02,21.623702,-1.566990,0.170692,True,1
4/21/2024 12:00:00 PM,4/21/2024 8:00:00 AM,51297,PECO,,,ZONE,,21.80,19.360660,-2.728565,0.289225,True,1
4/21/2024 1:00:00 PM,4/21/2024 9:00:00 AM,51297,PECO,,,ZONE,,21.43,18.711973,-3.045394,0.327367,True,1
4/21/2024 2:00:00 PM,4/21/2024 10:00:00 AM,51297,PECO,,,ZONE,,21.64,20.346299,-1.743683,0.449982,True,1
4/21/2024 3:00:00 PM,4/21/2024 11:00:00 AM,51297,PECO,,,ZONE,,21.42,19.855694,-1.889134,0.324828,True,1
4/21/2024 4:00:00 PM,4/21/2024 12:00:00 PM,51297,PECO,,,ZONE,,21.12,20.745267,-0.746349,0.371616,True,1
4/21/2024 5:00:00 PM,4/21/2024 1:00:00 PM,51297,PECO,,,ZONE,,20.75,20.808226,-0.280052,0.338278,True,1
4/21/2024 6:00:00 PM,4/21/2024 2:00:00 PM,51297,PECO,,,ZONE,,18.33,17.766182,-0.782220,0.218402,True,1
4/21/2024 7:00:00 PM,4/21/2024 3:00:00 PM,51297,PECO,,,ZONE,,17.76,16.517844,-1.419604,0.177448,True,1
4/21/2024 8:00:00 PM,4/21/2024 4:00:00 PM,51297,PECO,,,ZONE,,19.18,16.968670,-2.444082,0.232752,True,1
4/21/2024 9:00:00 PM,4/21/2024 5:00:00 PM,51297,PECO,,,ZONE,,20.56,18.344778,-2.424498,0.209276,True,1
4/21/2024 10:00:00 PM,4/21/2024 6:00:00 PM,51297,PECO,,,ZONE,,24.01,20.209747,-3.814405,0.014152,True,1
4/21/2024 11:00:00 PM,4/21/2024 7:00:00 PM,51297,PECO,,,ZONE,,35.73,30.240158,-5.584118,0.094276,True,1
4/22/2024 12:00:00 AM,4/21/2024 8:00:00 PM,51297,PECO,,,ZONE,,45.57,36.892664,-8.420064,-0.257272,True,1
4/22/2024 1:00:00 AM,4/21/2024 9:00:00 PM,51297,PECO,,,ZONE,,36.71,28.498777,-7.796944,-0.414279,True,1
4/22/2024 2:00:00 AM,4/21/2024 10:00:00 PM,51297,PECO,,,ZONE,,28.51,23.632552,-4.110623,-0.766825,True,1
4/22/2024 3:00:00 AM,4/21/2024 11:00:00 PM,51297,PECO,,,ZONE,,23.77,21.270572,-1.933287,-0.566141,True,1
4/22/2024 4:00:00 AM,4/22/2024 12:00:00 AM,51297,PECO,,,ZONE,,21.17,19.919906,-1.075743,-0.174351,True,1
4/22/2024 5:00:00 AM,4/22/2024 1:00:00 AM,51297,PECO,,,ZONE,,21.85,19.296684,-2.297660,-0.255656,True,1
4/22/2024 6:00:00 AM,4/22/2024 2:00:00 AM,51297,PECO,,,ZONE,,19.81,18.854355,-0.721534,-0.234111,True,1
4/22/2024 7:00:00 AM,4/22/2024 3:00:00 AM,51297,PECO,,,ZONE,,19.17,18.512896,-0.427620,-0.229484,True,1
4/22/2024 8:00:00 AM,4/22/2024 4:00:00 AM,51297,PECO,,,ZONE,,21.59,19.636536,-1.648057,-0.305407,True,1
4/22/2024 9:00:00 AM,4/22/2024 5:00:00 AM,51297,PECO,,,ZONE,,33.08,26.405825,-6.342065,-0.332110,True,1
4/22/2024 10:00:00 AM,4/22/2024 6:00:00 AM,51297,PECO,,,ZONE,,56.40,37.063899,-19.137746,-0.198355,True,1
4/22/2024 11:00:00 AM,4/22/2024 7:00:00 AM,51297,PECO,,,ZONE,,51.38,39.831904,-11.495518,-0.052578,True,1
4/22/2024 12:00:00 PM,4/22/2024 8:00:00 AM,51297,PECO,,,ZONE,,27.30,19.293976,-7.671675,-0.334349,True,1
4/22/2024 1:00:00 PM,4/22/2024 9:00:00 AM,51297,PECO,,,ZONE,,24.19,18.827257,-4.957297,-0.405446,True,1
4/22/2024 2:00:00 PM,4/22/2024 10:00:00 AM,51297,PECO,,,ZONE,,22.83,19.528999,-3.006432,-0.294569,True,1
4/22/2024 3:00:00 PM,4/22/2024 11:00:00 AM,51297,PECO,,,ZONE,,20.51,18.143648,-2.314955,-0.051397,True,1
