datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
4/20/2024 4:00:00 AM,4/20/2024 12:00:00 AM,RFC,MIDATL,PL,PLCO,3479.721,False
4/20/2024 5:00:00 AM,4/20/2024 1:00:00 AM,RFC,MIDATL,PL,PLCO,3352.180,False
4/20/2024 6:00:00 AM,4/20/2024 2:00:00 AM,RFC,MIDATL,PL,PLCO,3288.193,False
4/20/2024 7:00:00 AM,4/20/2024 3:00:00 AM,RFC,MIDATL,PL,PLCO,3247.061,False
4/20/2024 8:00:00 AM,4/20/2024 4:00:00 AM,RFC,MIDATL,PL,PLCO,3295.908,False
4/20/2024 9:00:00 AM,4/20/2024 5:00:00 AM,RFC,MIDATL,PL,PLCO,3384.782,False
4/20/2024 10:00:00 AM,4/20/2024 6:00:00 AM,RFC,MIDATL,PL,PLCO,3536.649,False
4/20/2024 11:00:00 AM,4/20/2024 7:00:00 AM,RFC,MIDATL,PL,PLCO,3728.887,False
4/20/2024 12:00:00 PM,4/20/2024 8:00:00 AM,RFC,MIDATL,PL,PLCO,3826.754,False
4/20/2024 1:00:00 PM,4/20/2024 9:00:00 AM,RFC,MIDATL,PL,PLCO,3820.241,False
4/20/2024 2:00:00 PM,4/20/2024 10:00:00 AM,RFC,MIDATL,PL,PLCO,3729.086,False
4/20/2024 3:00:00 PM,4/20/2024 11:00:00 AM,RFC,MIDATL,PL,PLCO,3662.504,False
4/20/2024 4:00:00 PM,4/20/2024 12:00:00 PM,RFC,MIDATL,PL,PLCO,3608.128,False
4/20/2024 5:00:00 PM,4/20/2024 1:00:00 PM,RFC,MIDATL,PL,PLCO,3508.890,False
4/20/2024 6:00:00 PM,4/20/2024 2:00:00 PM,RFC,MIDATL,PL,PLCO,3542.578,False
4/20/2024 7:00:00 PM,4/20/2024 3:00:00 PM,RFC,MIDATL,PL,PLCO,3553.590,False
4/20/2024 8:00:00 PM,4/20/2024 4:00:00 PM,RFC,MIDATL,PL,PLCO,3643.366,False
