datetime_beginning_utc,datetime_beginning_ept,area,wind_generation_mw
4/21/2025 3:00:00 AM,4/20/2025 11:00:00 PM,MIDATL,424.958
4/21/2025 2:00:00 AM,4/20/2025 10:00:00 PM,MIDATL,380.779
4/21/2025 1:00:00 AM,4/20/2025 9:00:00 PM,MIDATL,275.365
4/21/2025 12:00:00 AM,4/20/2025 8:00:00 PM,MIDATL,137.138
4/20/2025 11:00:00 PM,4/20/2025 7:00:00 PM,MIDATL,48.808
4/20/2025 10:00:00 PM,4/20/2025 6:00:00 PM,MIDATL,41.572
4/20/2025 9:00:00 PM,4/20/2025 5:00:00 PM,MIDATL,75.051
4/20/2025 8:00:00 PM,4/20/2025 4:00:00 PM,MIDATL,107.197
4/20/2025 7:00:00 PM,4/20/2025 3:00:00 PM,MIDATL,130.533
4/20/2025 6:00:00 PM,4/20/2025 2:00:00 PM,MIDATL,155.766
4/20/2025 5:00:00 PM,4/20/2025 1:00:00 PM,MIDATL,181.811
4/20/2025 4:00:00 PM,4/20/2025 12:00:00 PM,MIDATL,207.311
4/20/2025 3:00:00 PM,4/20/2025 11:00:00 AM,MIDATL,223.272
4/20/2025 2:00:00 PM,4/20/2025 10:00:00 AM,MIDATL,230.895
4/20/2025 1:00:00 PM,4/20/2025 9:00:00 AM,MIDATL,309.757
4/20/2025 12:00:00 PM,4/20/2025 8:00:00 AM,MIDATL,430.673
4/20/2025 11:00:00 AM,4/20/2025 7:00:00 AM,MIDATL,444.214
4/20/2025 10:00:00 AM,4/20/2025 6:00:00 AM,MIDATL,384.675
4/20/2025 9:00:00 AM,4/20/2025 5:00:00 AM,MIDATL,405.086
4/20/2025 8:00:00 AM,4/20/2025 4:00:00 AM,MIDATL,436.829
4/20/2025 7:00:00 AM,4/20/2025 3:00:00 AM,MIDATL,530.480
4/20/2025 6:00:00 AM,4/20/2025 2:00:00 AM,MIDATL,641.735
4/20/2025 5:00:00 AM,4/20/2025 1:00:00 AM,MIDATL,614.039
4/20/2025 4:00:00 AM,4/20/2025 12:00:00 AM,MIDATL,671.634
4/20/2025 3:00:00 AM,4/19/2025 11:00:00 PM,MIDATL,716.785
4/20/2025 2:00:00 AM,4/19/2025 10:00:00 PM,MIDATL,651.596
4/20/2025 1:00:00 AM,4/19/2025 9:00:00 PM,MIDATL,546.493
4/20/2025 12:00:00 AM,4/19/2025 8:00:00 PM,MIDATL,558.949
4/19/2025 11:00:00 PM,4/19/2025 7:00:00 PM,MIDATL,602.016
4/19/2025 10:00:00 PM,4/19/2025 6:00:00 PM,MIDATL,697.298
4/19/2025 9:00:00 PM,4/19/2025 5:00:00 PM,MIDATL,695.316
4/19/2025 8:00:00 PM,4/19/2025 4:00:00 PM,MIDATL,805.738
4/19/2025 7:00:00 PM,4/19/2025 3:00:00 PM,MIDATL,823.723
4/19/2025 6:00:00 PM,4/19/2025 2:00:00 PM,MIDATL,727.304
4/19/2025 5:00:00 PM,4/19/2025 1:00:00 PM,MIDATL,604.582
4/19/2025 4:00:00 PM,4/19/2025 12:00:00 PM,MIDATL,564.186
4/19/2025 3:00:00 PM,4/19/2025 11:00:00 AM,MIDATL,620.075
4/19/2025 2:00:00 PM,4/19/2025 10:00:00 AM,MIDATL,681.417
4/19/2025 1:00:00 PM,4/19/2025 9:00:00 AM,MIDATL,689.203
4/19/2025 12:00:00 PM,4/19/2025 8:00:00 AM,MIDATL,733.312
4/19/2025 11:00:00 AM,4/19/2025 7:00:00 AM,MIDATL,733.966
4/19/2025 10:00:00 AM,4/19/2025 6:00:00 AM,MIDATL,802.305
4/19/2025 9:00:00 AM,4/19/2025 5:00:00 AM,MIDATL,823.626
4/19/2025 8:00:00 AM,4/19/2025 4:00:00 AM,MIDATL,858.158
4/19/2025 7:00:00 AM,4/19/2025 3:00:00 AM,MIDATL,892.072
4/19/2025 6:00:00 AM,4/19/2025 2:00:00 AM,MIDATL,853.470
4/19/2025 5:00:00 AM,4/19/2025 1:00:00 AM,MIDATL,814.609
