datetime_beginning_ept,day_of_year,total_lmp_da,congestion_price_da,marginal_loss_price_da,mw,tmpf,dwpf,relh,wind_generation_mw,solar_generation_mw,FutureLMP,FutureLMP_PercentGain,FutureLMP_Outcome
4/20/2024 12:00:00 AM,111,21.306534,-0.276823,0.273357,3479.721,55,50,83.2,671.634,-2.8,21.460014,0.7203424076389048,1
4/20/2024 1:00:00 AM,111,21.164089,-0.585468,0.269557,3352.18,55,50,83.2,716.785,-2.773,20.839853,-1.5320101895243357,0
4/20/2024 2:00:00 AM,111,18.914341,0.253203,0.241138,3288.193,55,50,83.2,651.596,-2.748,21.6409,14.415300009659326,1
4/20/2024 3:00:00 AM,111,19.006722,0.348929,0.317793,3247.061,55,50,83.2,546.493,-3.9,22.469718,18.2198487461436,1
4/20/2024 4:00:00 AM,111,18.951583,0.393113,0.31847,3295.908,55,50,83.2,558.949,-3.192,21.266298,12.213834591020706,1
4/20/2024 5:00:00 AM,111,19.52146,0.391628,0.269832,3384.782,55,50,83.2,602.016,21.051,20.587753,5.462158055801145,1
4/20/2024 6:00:00 AM,111,22.344642,0.235896,-0.151254,3536.649,55,50,83.2,697.298,185.977,23.32168,4.37258292166865,1
4/20/2024 7:00:00 AM,111,23.229768,-0.903058,0.012826,3728.887,55,50,83.2,695.316,453.575,21.623702,-6.913827120443039,0
4/20/2024 8:00:00 AM,111,23.224366,-0.619609,0.043975,3826.754,55,50,83.2,805.738,741.487,19.36066,-16.636432615641695,0
4/20/2024 9:00:00 AM,111,22.092527,-0.568909,0.031436,3820.241,55,50,83.2,823.723,896.04,18.711973,-15.301798657980592,0
4/20/2024 10:00:00 AM,111,19.136173,-0.745894,0.022067,3729.086,55,50,83.2,727.304,1132.455,20.346299,6.323761809636644,1
4/20/2024 11:00:00 AM,111,17.921085,-0.613612,-0.025303,3662.504,55,50,83.2,604.582,1136.117,19.855694,10.795155538852686,1
4/20/2024 12:00:00 PM,111,16.13385,-0.263697,-0.002453,3608.128,55,50,83.2,564.186,1053.213,20.745267,28.582247882557475,1
4/20/2024 1:00:00 PM,111,14.802794,-0.195819,0.078613,3508.89,55,50,83.2,620.075,900.059,20.808226,40.569584363600555,1
4/20/2024 2:00:00 PM,111,13.69254,-0.360394,0.132934,3542.578,55,50,83.2,681.417,622.563,17.766182,29.75081321653982,1
4/20/2024 3:00:00 PM,111,12.697307,-1.016002,0.103309,3553.59,55,50,83.2,689.203,364.344,16.517844,30.089348867440947,1
4/20/2024 4:00:00 PM,111,14.467622,-0.840335,0.197957,3643.366,55,50,83.2,733.312,264.034,16.96867,17.287208637328227,1
4/20/2024 5:00:00 PM,111,16.893581,-0.842875,0.196456,3689.298,55,50,83.2,733.966,128.074,18.344778,8.590227258507243,1
4/20/2024 6:00:00 PM,111,19.823832,-2.48094,0.224772,3695.263,55,50,83.2,802.305,6.817,20.209747,1.9467225105620383,1
4/20/2024 7:00:00 PM,111,27.582063,-1.474793,0.206856,3765.057,55,50,83.2,823.626,-2.803,30.240158,9.63704201531263,1
4/20/2024 8:00:00 PM,111,34.822354,-4.363946,0.0463,3855.492,55,50,83.2,858.158,-2.783,36.892664,5.945347635027795,1
4/20/2024 9:00:00 PM,111,29.024863,-4.820956,0.005819,3776.875,55,50,83.2,892.072,-3.827,28.498777,-1.8125356870762814,0
4/20/2024 10:00:00 PM,111,24.940222,-4.291751,0.031973,3642.696,55,50,83.2,853.47,-2.814,23.632552,-5.243217161419005,0
4/20/2024 11:00:00 PM,111,23.515672,-2.228428,-0.2359,3487.273,55,50,83.2,814.609,-2.804,21.270572,-9.547250021177355,0
4/21/2024 12:00:00 AM,112,21.460014,-0.64059,0.030604,3324.707,62,28,27.4,649.071,-2.79,19.919906,-7.176640238911307,0
4/21/2024 1:00:00 AM,112,20.839853,-1.645497,-0.12465,3284.229,62,28,27.4,617.181,-2.718,19.296684,-7.404893882888724,0
4/21/2024 2:00:00 AM,112,21.6409,-0.19727,-0.12183,3292.377,62,28,27.4,674.741,-2.749,18.854355,-12.876289803104294,0
4/21/2024 3:00:00 AM,112,22.469718,-0.033023,-0.057259,3302.663,62,28,27.4,726.487,-2.829,18.512896,-17.60957569649961,0
4/21/2024 4:00:00 AM,112,21.266298,-0.530789,-0.062913,3391.107,62,28,27.4,703.706,-4.116,19.636536,-7.6635905318358635,0
4/21/2024 5:00:00 AM,112,20.587753,-1.48202,-0.180227,3509.693,62,28,27.4,626.902,46.573,26.405825,28.259868864756637,1
4/21/2024 6:00:00 AM,112,23.32168,-1.103005,-0.105315,3679.09,62,28,27.4,572.761,339.451,37.063899,58.9246529409545,1
4/21/2024 7:00:00 AM,112,21.623702,-1.56699,0.170692,3826.478,62,28,27.4,611.747,735.708,39.831904,84.20483227155091,1
4/21/2024 8:00:00 AM,112,19.36066,-2.728565,0.289225,3977.308,62,28,27.4,556.415,938.504,19.293976,-0.34443040681463666,0
4/21/2024 9:00:00 AM,112,18.711973,-3.045394,0.327367,4010.927,62,28,27.4,485.54,1128.659,18.827257,0.6160975114703247,1
4/21/2024 10:00:00 AM,112,20.346299,-1.743683,0.449982,4048.782,62,28,27.4,565.983,1282.804,19.528999,-4.016946767566915,0
4/21/2024 11:00:00 AM,112,19.855694,-1.889134,0.324828,3994.09,62,28,27.4,556.3,1338.705,18.143648,-8.622443516706094,0
4/21/2024 12:00:00 PM,112,20.745267,-0.746349,0.371616,3982.196,62,28,27.4,530.538,1422.508,17.514179,-15.575061048864786,0
4/21/2024 1:00:00 PM,112,20.808226,-0.280052,0.338278,3913.517,62,28,27.4,492.208,1385.726,17.493796,-15.928460215685861,0
4/21/2024 2:00:00 PM,112,17.766182,-0.78222,0.218402,3853.897,62,28,27.4,501.389,1266.187,17.387784,-2.1298779895421576,0
4/21/2024 3:00:00 PM,112,16.517844,-1.419604,0.177448,3909.823,62,28,27.4,566.389,1149.601,16.46005,-0.3498882783975998,0
4/21/2024 4:00:00 PM,112,16.96867,-2.444082,0.232752,4003.994,62,28,27.4,616.605,824.015,16.067994,-5.3078762212948964,0
4/21/2024 5:00:00 PM,112,18.344778,-2.424498,0.209276,4042.33,62,28,27.4,608.596,325.161,18.47619,0.7163455453099373,1
4/21/2024 6:00:00 PM,112,20.209747,-3.814405,0.014152,4071.769,62,28,27.4,534.53,22.792,23.328648,15.432657321242077,1
4/21/2024 7:00:00 PM,112,30.240158,-5.584118,0.094276,4173.424,62,28,27.4,472.674,-2.901,35.88011,18.650537474043624,1
4/21/2024 8:00:00 PM,112,36.892664,-8.420064,-0.257272,4260.822,62,28,27.4,433.421,-2.817,44.327847,20.153554104957003,1
4/21/2024 9:00:00 PM,112,28.498777,-7.796944,-0.414279,4131.073,62,28,27.4,335.389,-3.879,23.006868,-19.270683089312918,0
4/21/2024 10:00:00 PM,112,23.632552,-4.110623,-0.766825,3930.022,62,28,27.4,193.358,-2.818,19.872992,-15.908396181673485,0
4/21/2024 11:00:00 PM,112,21.270572,-1.933287,-0.566141,3756.387,62,28,27.4,157.946,-2.823,18.082601,-14.98770695964359,0
4/22/2024 12:00:00 AM,113,19.919906,-1.075743,-0.174351,3629.14,50,25,37.39,100.468,-2.877,19.848745,-0.3572356214933947,0
4/22/2024 1:00:00 AM,113,19.296684,-2.29766,-0.255656,3539.694,50,25,37.39,51.155,-2.829,19.400358,0.5372632935275388,1
4/22/2024 2:00:00 AM,113,18.854355,-0.721534,-0.234111,3581.119,50,25,37.39,13.047,-2.78,19.025886,0.9097685919247733,1
4/22/2024 3:00:00 AM,113,18.512896,-0.42762,-0.229484,3681.978,50,25,37.39,5.191,-2.797,18.809104,1.6000089883290005,1
4/22/2024 4:00:00 AM,113,19.636536,-1.648057,-0.305407,3859.685,50,25,37.39,6.99,-2.979,19.136304,-2.547455416780233,0
4/22/2024 5:00:00 AM,113,26.405825,-6.342065,-0.33211,4155.034,50,25,37.39,13.828,35.206,22.461107,-14.938817476825669,0
4/22/2024 6:00:00 AM,113,37.063899,-19.137746,-0.198355,4666.471,50,25,37.39,33.178,417.012,34.839264,-6.002161294471473,0
4/22/2024 7:00:00 AM,113,39.831904,-11.495518,-0.052578,4869.549,50,25,37.39,43.172,990.516,27.104496,-31.952798440164948,0
4/22/2024 8:00:00 AM,113,19.293976,-7.671675,-0.334349,4724.597,50,25,37.39,79.441,1291.421,21.193962,9.847560710140815,1
4/22/2024 9:00:00 AM,113,18.827257,-4.957297,-0.405446,4501.736,50,25,37.39,128.63,1452.325,19.03841,1.121528218369779,1
4/22/2024 10:00:00 AM,113,19.528999,-3.006432,-0.294569,4426.997,50,25,37.39,154.238,1521.067,19.345947,-0.9373342688992918,0
4/22/2024 11:00:00 AM,113,18.143648,-2.314955,-0.051397,4321.785,50,25,37.39,143.764,1528.973,17.352052,-4.362937376210112,0
4/22/2024 12:00:00 PM,113,17.514179,-2.102343,0.016522,4207.812,50,25,37.39,104.865,1507.197,16.869281,-3.6821480470194907,0
4/22/2024 1:00:00 PM,113,17.493796,-0.804823,-0.031381,4183.364,50,25,37.39,94.772,1466.583,17.954095,2.631212802527245,1
4/22/2024 2:00:00 PM,113,17.387784,-0.929743,0.147527,4098.407,50,25,37.39,131.995,1387.644,17.607767,1.2651583433518565,1
4/22/2024 3:00:00 PM,113,16.46005,-1.066796,0.116846,3988.9,50,25,37.39,111.945,1228.1,17.472522,6.151087025859597,1
4/22/2024 4:00:00 PM,113,16.067994,-1.066665,-0.015341,4035.666,50,25,37.39,118.606,879.349,17.795757,10.752823283354472,1
4/22/2024 5:00:00 PM,113,18.47619,0.363395,0.042795,4144.788,50,25,37.39,220.053,332.898,19.212287,3.9840302573203723,1
4/22/2024 6:00:00 PM,113,23.328648,-0.501981,0.220629,4150.009,50,25,37.39,316.092,19.649,21.108127,-9.518429872146905,0
4/22/2024 7:00:00 PM,113,35.88011,-3.117587,-0.302303,4226.401,50,25,37.39,362.469,-3.761,24.079566,-32.88881778790534,0
4/22/2024 8:00:00 PM,113,44.327847,-1.739226,-0.262927,4345.963,50,25,37.39,399.471,-2.86,33.24185,-25.009103194206567,0
4/22/2024 9:00:00 PM,113,23.006868,-4.242413,-0.150719,4156.973,50,25,37.39,467.632,-2.765,22.912149,-0.4116988022880877,0
4/22/2024 10:00:00 PM,113,19.872992,-1.883425,-0.143583,3931.313,50,25,37.39,511.21,-3.854,19.49619,-1.8960506802398018,0
4/22/2024 11:00:00 PM,113,18.082601,-1.265502,-0.151897,3677.607,50,25,37.39,553.049,-2.796,19.73068,9.114170024544583,1
4/23/2024 12:00:00 AM,114,19.848745,1.954208,-0.355463,3648.492,52,40,63.48,584.743,-2.829,19.817794,-0.1559342920673409,0
4/23/2024 1:00:00 AM,114,19.400358,1.650299,-0.399941,3606.664,52,40,63.48,576.996,-2.728,20.000828,3.095149068898614,1
4/23/2024 2:00:00 AM,114,19.025886,1.739734,-0.313848,3567.411,52,40,63.48,614.93,-2.63,18.456221,-2.9941575388394552,0
4/23/2024 3:00:00 AM,114,18.809104,1.656528,-0.377424,3555.588,52,40,63.48,660.572,-2.624,18.156649,-3.4688255219387365,0
4/23/2024 4:00:00 AM,114,19.136304,1.292121,-0.325817,3800.205,52,40,63.48,689.594,-2.755,19.781791,3.3731017233003784,1
