"C","Hourly Wholesale Load Cost Report"
"C","Filename: whlsecost_hourly_4000_202411.csv"
"C","Report for: 11 2024"
"C","Report generated: 03/08/2025 14:30:26 EST"
"H","Location ID","Local Date","Local Hour","OnOffPeak","Total Cost","RTLO"
"H","Number","Date","Number","String","Number","Number"
"D",4000,"11/01/2024",01,"OFF",36.59,10468.532
"D",4000,"11/01/2024",02,"OFF",38.52,10456.787
"D",4000,"11/01/2024",03,"OFF",38.67,10259.036
"D",4000,"11/01/2024",04,"OFF",37.71,10179.951
"D",4000,"11/01/2024",05,"OFF",39.84,10382.797
"D",4000,"11/01/2024",06,"OFF",37.59,10746.611
"D",4000,"11/01/2024",07,"OFF",51.63,11664.258
"D",4000,"11/01/2024",08,"ON",53.99,12350.710
"D",4000,"11/01/2024",09,"ON",49.73,12812.204
"D",4000,"11/01/2024",10,"ON",55.37,12976.403
"D",4000,"11/01/2024",11,"ON",62.26,12827.102
"D",4000,"11/01/2024",12,"ON",56.67,12455.488
"D",4000,"11/01/2024",13,"ON",39.02,11922.309
"D",4000,"11/01/2024",14,"ON",37.89,12153.602
"D",4000,"11/01/2024",15,"ON",38.57,12283.231
"D",4000,"11/01/2024",16,"ON",42.56,12569.328
"D",4000,"11/01/2024",17,"ON",56.44,13067.359
"D",4000,"11/01/2024",18,"ON",64.57,13442.896
"D",4000,"11/01/2024",19,"ON",64.13,13509.522
"D",4000,"11/01/2024",20,"ON",61.12,12961.025
"D",4000,"11/01/2024",21,"ON",54.56,12357.717
"D",4000,"11/01/2024",22,"ON",38.68,11662.718
"D",4000,"11/01/2024",23,"ON",45.92,10930.316
"D",4000,"11/01/2024",24,"OFF",38.61,10278.691
"D",4000,"11/02/2024",01,"OFF",41.57,9807.379
"D",4000,"11/02/2024",02,"OFF",41.83,9851.889
"D",4000,"11/02/2024",03,"OFF",36.72,9791.868
"D",4000,"11/02/2024",04,"OFF",39.19,9756.852
"D",4000,"11/02/2024",05,"OFF",38.60,9865.102
"D",4000,"11/02/2024",06,"OFF",38.08,9944.039
"D",4000,"11/02/2024",07,"OFF",39.25,10088.042
"D",4000,"11/02/2024",08,"OFF",41.31,10547.929
"D",4000,"11/02/2024",09,"OFF",45.36,11024.410
"D",4000,"11/02/2024",10,"OFF",36.73,10956.069
"D",4000,"11/02/2024",11,"OFF",35.52,10944.550
"D",4000,"11/02/2024",12,"OFF",54.28,11199.838
"D",4000,"11/02/2024",13,"OFF",47.72,11128.430
"D",4000,"11/02/2024",14,"OFF",39.43,11128.203
"D",4000,"11/02/2024",15,"OFF",36.25,11151.681
"D",4000,"11/02/2024",16,"OFF",35.55,11393.450
"D",4000,"11/02/2024",17,"OFF",46.49,11756.867
"D",4000,"11/02/2024",18,"OFF",52.33,12578.339
"D",4000,"11/02/2024",19,"OFF",63.16,12879.721
"D",4000,"11/02/2024",20,"OFF",57.68,12626.345
"D",4000,"11/02/2024",21,"OFF",42.07,12209.363
"D",4000,"11/02/2024",22,"OFF",49.97,11712.144
"D",4000,"11/02/2024",23,"OFF",42.67,11154.180
"D",4000,"11/02/2024",24,"OFF",39.45,10571.680
"D",4000,"11/03/2024",01,"OFF",38.70,10328.844
"D",4000,"11/03/2024",02,"OFF",36.77,10046.665
"D",4000,"11/03/2024",02X,"OFF",36.08,9931.079
"D",4000,"11/03/2024",03,"OFF",36.08,10108.497
"D",4000,"11/03/2024",04,"OFF",36.77,10139.926
"D",4000,"11/03/2024",05,"OFF",34.92,10059.685
"D",4000,"11/03/2024",06,"OFF",35.81,10561.593
"D",4000,"11/03/2024",07,"OFF",40.30,11108.312
"D",4000,"11/03/2024",08,"OFF",37.28,11353.024
"D",4000,"11/03/2024",09,"OFF",35.80,11694.547
"D",4000,"11/03/2024",10,"OFF",32.53,11402.319
"D",4000,"11/03/2024",11,"OFF",32.19,10961.195
"D",4000,"11/03/2024",12,"OFF",32.33,10812.157
"D",4000,"11/03/2024",13,"OFF",32.59,10861.120
"D",4000,"11/03/2024",14,"OFF",33.28,11146.493
"D",4000,"11/03/2024",15,"OFF",36.58,11418.743
"D",4000,"11/03/2024",16,"OFF",50.49,12121.703
"D",4000,"11/03/2024",17,"OFF",93.70,13230.990
"D",4000,"11/03/2024",18,"OFF",73.17,14124.481
"D",4000,"11/03/2024",19,"OFF",64.15,13949.305
"D",4000,"11/03/2024",20,"OFF",65.51,13541.881
"D",4000,"11/03/2024",21,"OFF",54.37,13037.907
"D",4000,"11/03/2024",22,"OFF",39.59,12301.996
"D",4000,"11/03/2024",23,"OFF",35.79,11732.732
"D",4000,"11/03/2024",24,"OFF",39.78,11334.618
"D",4000,"11/04/2024",01,"OFF",61.77,11116.151
"D",4000,"11/04/2024",02,"OFF",61.72,11132.084
"D",4000,"11/04/2024",03,"OFF",60.28,11083.095
"D",4000,"11/04/2024",04,"OFF",59.06,11169.746
"D",4000,"11/04/2024",05,"OFF",40.68,11284.492
"D",4000,"11/04/2024",06,"OFF",53.58,12002.639
"D",4000,"11/04/2024",07,"OFF",66.77,13209.142
"D",4000,"11/04/2024",08,"ON",79.85,13778.270
"D",4000,"11/04/2024",09,"ON",102.71,13767.995
"D",4000,"11/04/2024",10,"ON",109.61,13701.577
"D",4000,"11/04/2024",11,"ON",180.09,13776.756
"D",4000,"11/04/2024",12,"ON",99.84,13476.252
"D",4000,"11/04/2024",13,"ON",51.03,13390.419
"D",4000,"11/04/2024",14,"ON",60.85,13311.277
"D",4000,"11/04/2024",15,"ON",67.85,13421.305
"D",4000,"11/04/2024",16,"ON",120.71,13649.652
"D",4000,"11/04/2024",17,"ON",138.11,14521.488
"D",4000,"11/04/2024",18,"ON",176.92,15125.105
"D",4000,"11/04/2024",19,"ON",80.54,14776.741
"D",4000,"11/04/2024",20,"ON",59.60,14209.597
"D",4000,"11/04/2024",21,"ON",66.60,13488.115
"D",4000,"11/04/2024",22,"ON",55.52,12630.670
"D",4000,"11/04/2024",23,"ON",48.08,11895.516
"D",4000,"11/04/2024",24,"OFF",39.40,11393.921
"D",4000,"11/05/2024",01,"OFF",36.53,11035.363
"D",4000,"11/05/2024",02,"OFF",45.39,10758.246
"D",4000,"11/05/2024",03,"OFF",42.86,10548.514
"D",4000,"11/05/2024",04,"OFF",46.91,10548.174
"D",4000,"11/05/2024",05,"OFF",62.63,10800.945
"D",4000,"11/05/2024",06,"OFF",54.56,11124.076
"D",4000,"11/05/2024",07,"OFF",67.38,12212.033
"D",4000,"11/05/2024",08,"ON",66.58,12577.907
"D",4000,"11/05/2024",09,"ON",44.37,12507.272
"D",4000,"11/05/2024",10,"ON",35.82,12356.193
"D",4000,"11/05/2024",11,"ON",36.26,12257.325
"D",4000,"11/05/2024",12,"ON",35.60,12082.671
"D",4000,"11/05/2024",13,"ON",37.04,12067.583
"D",4000,"11/05/2024",14,"ON",40.18,12053.879
"D",4000,"11/05/2024",15,"ON",44.23,12410.629
"D",4000,"11/05/2024",16,"ON",65.37,13037.999
"D",4000,"11/05/2024",17,"ON",68.81,13690.339
"D",4000,"11/05/2024",18,"ON",83.86,14362.408
"D",4000,"11/05/2024",19,"ON",79.76,14096.131
"D",4000,"11/05/2024",20,"ON",62.41,13548.707
"D",4000,"11/05/2024",21,"ON",55.26,12883.444
"D",4000,"11/05/2024",22,"ON",44.21,12172.341
"D",4000,"11/05/2024",23,"ON",39.42,11461.720
"D",4000,"11/05/2024",24,"OFF",36.19,10977.509
"D",4000,"11/06/2024",01,"OFF",35.63,11032.260
"D",4000,"11/06/2024",02,"OFF",35.24,10749.553
"D",4000,"11/06/2024",03,"OFF",33.79,10538.873
"D",4000,"11/06/2024",04,"OFF",33.62,10469.758
"D",4000,"11/06/2024",05,"OFF",32.54,10214.456
"D",4000,"11/06/2024",06,"OFF",33.62,10745.430
"D",4000,"11/06/2024",07,"OFF",35.36,11805.236
"D",4000,"11/06/2024",08,"ON",48.88,12172.371
"D",4000,"11/06/2024",09,"ON",36.13,12036.607
"D",4000,"11/06/2024",10,"ON",34.86,12092.366
"D",4000,"11/06/2024",11,"ON",37.71,12071.596
"D",4000,"11/06/2024",12,"ON",47.71,11969.921
"D",4000,"11/06/2024",13,"ON",62.99,12446.782
"D",4000,"11/06/2024",14,"ON",62.94,12943.906
"D",4000,"11/06/2024",15,"ON",61.90,13378.602
"D",4000,"11/06/2024",16,"ON",68.16,13774.059
"D",4000,"11/06/2024",17,"ON",77.75,14323.275
"D",4000,"11/06/2024",18,"ON",74.28,14854.485
"D",4000,"11/06/2024",19,"ON",62.54,14503.245
"D",4000,"11/06/2024",20,"ON",56.53,13991.679
"D",4000,"11/06/2024",21,"ON",65.82,13343.009
"D",4000,"11/06/2024",22,"ON",65.33,12435.299
"D",4000,"11/06/2024",23,"ON",49.56,11423.755
"D",4000,"11/06/2024",24,"OFF",42.93,10889.556
"D",4000,"11/07/2024",01,"OFF",39.29,10804.508
"D",4000,"11/07/2024",02,"OFF",39.02,10695.713
"D",4000,"11/07/2024",03,"OFF",37.61,10438.873
"D",4000,"11/07/2024",04,"OFF",36.87,10347.460
"D",4000,"11/07/2024",05,"OFF",35.42,10235.708
"D",4000,"11/07/2024",06,"OFF",37.01,10662.254
"D",4000,"11/07/2024",07,"OFF",52.83,11471.858
"D",4000,"11/07/2024",08,"ON",66.34,12126.165
"D",4000,"11/07/2024",09,"ON",58.38,12125.282
"D",4000,"11/07/2024",10,"ON",83.47,12032.699
"D",4000,"11/07/2024",11,"ON",95.81,12027.552
"D",4000,"11/07/2024",12,"ON",48.24,12080.270
"D",4000,"11/07/2024",13,"ON",45.15,12170.959
"D",4000,"11/07/2024",14,"ON",41.92,12180.496
"D",4000,"11/07/2024",15,"ON",43.67,12301.548
"D",4000,"11/07/2024",16,"ON",76.94,12726.737
"D",4000,"11/07/2024",17,"ON",68.32,13438.173
"D",4000,"11/07/2024",18,"ON",61.82,14024.578
"D",4000,"11/07/2024",19,"ON",49.21,13744.254
"D",4000,"11/07/2024",20,"ON",43.25,13290.480
"D",4000,"11/07/2024",21,"ON",46.99,12695.245
"D",4000,"11/07/2024",22,"ON",48.43,11938.125
"D",4000,"11/07/2024",23,"ON",39.03,11119.606
"D",4000,"11/07/2024",24,"OFF",35.65,10514.557
"D",4000,"11/08/2024",01,"OFF",43.99,10284.556
"D",4000,"11/08/2024",02,"OFF",73.77,10265.545
"D",4000,"11/08/2024",03,"OFF",61.23,10139.351
"D",4000,"11/08/2024",04,"OFF",40.74,10132.828
"D",4000,"11/08/2024",05,"OFF",43.64,10413.547
"D",4000,"11/08/2024",06,"OFF",39.07,10748.898
"D",4000,"11/08/2024",07,"OFF",57.66,12074.155
"D",4000,"11/08/2024",08,"ON",52.68,12239.588
"D",4000,"11/08/2024",09,"ON",36.74,12044.969
"D",4000,"11/08/2024",10,"ON",35.79,11812.300
"D",4000,"11/08/2024",11,"ON",35.60,11583.539
"D",4000,"11/08/2024",12,"ON",35.38,11595.236
"D",4000,"11/08/2024",13,"ON",35.41,11732.232
"D",4000,"11/08/2024",14,"ON",34.97,12018.149
"D",4000,"11/08/2024",15,"ON",38.41,12289.717
"D",4000,"11/08/2024",16,"ON",53.17,12627.757
"D",4000,"11/08/2024",17,"ON",55.02,13361.420
"D",4000,"11/08/2024",18,"ON",63.62,13851.771
"D",4000,"11/08/2024",19,"ON",55.51,13485.568
"D",4000,"11/08/2024",20,"ON",50.43,13029.922
"D",4000,"11/08/2024",21,"ON",41.00,12547.480
"D",4000,"11/08/2024",22,"ON",49.40,11961.984
"D",4000,"11/08/2024",23,"ON",38.12,11405.712
"D",4000,"11/08/2024",24,"OFF",36.61,10680.713
"D",4000,"11/09/2024",01,"OFF",47.67,10129.730
"D",4000,"11/09/2024",02,"OFF",35.51,10129.322
"D",4000,"11/09/2024",03,"OFF",34.91,9987.385
"D",4000,"11/09/2024",04,"OFF",35.22,9913.720
"D",4000,"11/09/2024",05,"OFF",34.76,9825.346
"D",4000,"11/09/2024",06,"OFF",35.30,10171.936
"D",4000,"11/09/2024",07,"OFF",47.07,10654.816
"D",4000,"11/09/2024",08,"OFF",47.72,11018.999
"D",4000,"11/09/2024",09,"OFF",34.14,11063.425
"D",4000,"11/09/2024",10,"OFF",33.46,11315.209
"D",4000,"11/09/2024",11,"OFF",32.73,11209.693
"D",4000,"11/09/2024",12,"OFF",32.69,11083.373
"D",4000,"11/09/2024",13,"OFF",32.70,11090.004
"D",4000,"11/09/2024",14,"OFF",33.46,11121.765
"D",4000,"11/09/2024",15,"OFF",33.79,11250.686
"D",4000,"11/09/2024",16,"OFF",47.42,11899.254
