"C","Hourly Wholesale Load Cost Report"
"C","Filename: whlsecost_hourly_4005_202412.csv"
"C","Report for: 12 2024"
"C","Report generated: 03/08/2025 14:30:38 EST"
"H","Location ID","Local Date","Local Hour","OnOffPeak","RTLMP","Capacity","First Contingency","Second Contingency","Regulation","Forward Reserves","Real-Time Reserves","Inadvertent","Marginal Loss Rev Fund","Auction Rev Rights","Real-Time Demand Reduction Cost","Price Responsive Demand Cost","ISO Sched 2","ISO Sched 3","NEPOOL Exp","Inventory Energy Program Cost","DA Ancillary Service Cost","Total Cost","RTLO"
"H","Number","Date","Number","String","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number"
"D",4005,"12/01/2024",01,"OFF",41.43,14.64,0.39,0.09,0.08,0,0,-0.01,-0.95,-0.48,0,,0.48,0.46,0.23,2.66,,59.02,744.014
"D",4005,"12/01/2024",02,"OFF",37.43,14.64,0.39,0.09,0.01,0,0,0.14,-1.29,-0.48,0,,0.48,0.46,0.23,2.66,,54.76,719.511
"D",4005,"12/01/2024",03,"OFF",40.94,14.64,0.39,0.09,0,0,0,0.04,-0.97,-0.48,0,,0.48,0.46,0.23,2.66,,58.48,709.216
"D",4005,"12/01/2024",04,"OFF",40.18,14.64,0.39,0.09,0,0,0,-0.03,-1.02,-0.48,0,,0.48,0.46,0.23,2.66,,57.6,707.236
"D",4005,"12/01/2024",05,"OFF",39.75,14.64,0.39,0.09,0,0,0,0.06,-0.95,-0.48,0,,0.48,0.46,0.23,2.66,,57.33,710.729
"D",4005,"12/01/2024",06,"OFF",40.84,14.64,0.39,0.09,0,0,0,0.12,-0.66,-0.48,0,,0.48,0.46,0.23,2.66,,58.77,745.612
"D",4005,"12/01/2024",07,"OFF",37.51,14.64,0.39,0.09,0.08,0,0,0.08,-0.87,-0.48,0,,0.48,0.46,0.23,2.66,,55.27,770.919
"D",4005,"12/01/2024",08,"OFF",37.98,14.64,0.39,0.09,0.3,0,0,0.1,-1.03,-0.48,0,,0.48,0.46,0.23,2.66,,55.82,798.162
"D",4005,"12/01/2024",09,"OFF",36.45,14.64,0.39,0.09,0.11,0,0,-0.02,-0.91,-0.48,0,,0.48,0.46,0.23,2.66,,54.1,813.388
"D",4005,"12/01/2024",10,"OFF",35.71,14.64,0.39,0.09,0.02,0,0,0,-0.79,-0.48,0,,0.48,0.46,0.23,2.66,,53.41,825.013
"D",4005,"12/01/2024",11,"OFF",21.1,14.64,0.39,0.09,0,0,0,0.12,-0.52,-0.48,0,,0.48,0.46,0.23,2.66,,39.17,823.509
"D",4005,"12/01/2024",12,"OFF",30.42,14.64,0.39,0.09,0.02,0,0,0.02,-0.87,-0.48,0,,0.48,0.46,0.23,2.66,,48.06,818.465
"D",4005,"12/01/2024",13,"OFF",66.81,14.64,0.39,0.09,0,0,0,0.09,-1.03,-0.48,0,,0.48,0.46,0.23,2.66,,84.34,826.384
"D",4005,"12/01/2024",14,"OFF",69.74,14.64,0.39,0.09,0,0,0,0.03,-0.94,-0.48,0,,0.48,0.46,0.23,2.66,,87.3,831.635
"D",4005,"12/01/2024",15,"OFF",79.05,14.64,0.39,0.09,0,0,0,0.12,-0.71,-0.48,0,,0.48,0.46,0.23,2.66,,96.93,865.071
"D",4005,"12/01/2024",16,"OFF",143.17,14.64,0.39,0.09,0,0,0,0.08,-1.92,-0.48,0,,0.48,0.46,0.23,2.66,,159.8,908.894
"D",4005,"12/01/2024",17,"OFF",140.34,14.64,0.39,0.09,0,0,0,0,-2.22,-0.48,0,,0.48,0.46,0.23,2.66,,156.59,995.569
"D",4005,"12/01/2024",18,"OFF",147.96,14.64,0.39,0.09,0,0,0,0.25,-3.34,-0.48,0,,0.48,0.46,0.23,2.66,,163.34,1044.231
"D",4005,"12/01/2024",19,"OFF",102.58,14.64,0.39,0.09,0,0,0,0.19,-2.35,-0.48,0,,0.48,0.46,0.23,2.66,,118.89,1037.454
"D",4005,"12/01/2024",20,"OFF",92.44,14.64,0.39,0.09,0.15,0,0,0.08,-2.16,-0.48,0,,0.48,0.46,0.23,2.66,,108.98,1012.633
