"C","Hourly Wholesale Load Cost Report"
"C","Filename: whlsecost_hourly_4008_202405.csv"
"C","Report for: 05 2024"
"C","Report generated: 03/08/2025 14:29:35 EST"
"H","Location ID","Local Date","Local Hour","OnOffPeak","RTLMP","Capacity","First Contingency","Second Contingency","Regulation","Forward Reserves","Real-Time Reserves","Inadvertent","Marginal Loss Rev Fund","Auction Rev Rights","Real-Time Demand Reduction Cost","Price Responsive Demand Cost","ISO Sched 2","ISO Sched 3","NEPOOL Exp","Inventory Energy Program Cost","DA Ancillary Service Cost","Total Cost","RTLO"
"H","Number","Date","Number","String","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number"
"D",4008,"05/01/2024",01,"OFF",22.06,10.84,0.49,0.02,0.01,0,0,-0.04,0.09,-0.1,0,,0.48,0.46,0.23,0,,34.54,1894.327
"D",4008,"05/01/2024",02,"OFF",21.2,10.84,0.49,0.02,0,0,0,0.01,0.15,-0.1,0,,0.48,0.46,0.23,0,,33.78,1824.814
"D",4008,"05/01/2024",03,"OFF",20.58,10.84,0.49,0.02,0,0,0,0.01,0.15,-0.1,0,,0.48,0.46,0.23,0,,33.16,1787.956
"D",4008,"05/01/2024",04,"OFF",20.28,10.84,0.49,0.02,0,0,0,0.02,0.14,-0.1,0,,0.48,0.46,0.23,0,,32.86,1777.228
"D",4008,"05/01/2024",05,"OFF",20.23,10.84,0.49,0.02,0,0,0,0.02,0.13,-0.1,0,,0.48,0.46,0.23,0,,32.8,1819.291
"D",4008,"05/01/2024",06,"OFF",21.81,10.84,0.49,0.02,0.09,0,0.03,0.06,0.21,-0.1,0,,0.48,0.46,0.23,0,,34.62,1957.842
"D",4008,"05/01/2024",07,"OFF",31.67,10.84,0.49,0.02,0.21,0,0.04,0.04,0.23,-0.1,0,,0.48,0.46,0.23,0,,44.61,2202.604
"D",4008,"05/01/2024",08,"ON",36.42,10.84,0.49,0.02,0.18,1.26,0,-0.01,0.21,-0.1,0,,0.48,0.46,0.23,0,,50.48,2387.437
"D",4008,"05/01/2024",09,"ON",37.05,10.84,0.49,0.02,0.01,1.24,0,-0.03,0.23,-0.1,0,,0.48,0.46,0.23,0,,50.92,2458.43
"D",4008,"05/01/2024",10,"ON",32.25,10.84,0.49,0.02,0,1.25,0.02,0.02,0.2,-0.1,0,,0.48,0.46,0.23,0,,46.16,2507.813
"D",4008,"05/01/2024",11,"ON",21.95,10.84,0.49,0.02,0,1.29,0,0,0.11,-0.1,0,,0.48,0.46,0.23,0,,35.77,2491.585
"D",4008,"05/01/2024",12,"ON",20.41,10.84,0.49,0.02,0.01,1.32,0,0,0.08,-0.1,0,,0.48,0.46,0.23,0,,34.24,2490.836
"D",4008,"05/01/2024",13,"ON",20.59,10.84,0.49,0.02,0,1.34,0,0.01,0.11,-0.1,0,,0.48,0.46,0.23,0,,34.47,2478.337
"D",4008,"05/01/2024",14,"ON",20.07,10.84,0.49,0.02,0,1.35,0,0.02,0.12,-0.1,0,,0.48,0.46,0.23,0,,33.98,2452.21
"D",4008,"05/01/2024",15,"ON",20.21,10.84,0.49,0.02,0,1.35,0,-0.02,0.06,-0.1,0,,0.48,0.46,0.23,0,,34.02,2488.519
"D",4008,"05/01/2024",16,"ON",20.1,10.84,0.49,0.02,0,1.32,0,0.08,-0.01,-0.1,0,,0.48,0.46,0.23,0,,33.91,2497.18
"D",4008,"05/01/2024",17,"ON",19.66,10.84,0.49,0.02,0,1.3,0,0.04,-0.03,-0.1,0,,0.48,0.46,0.23,0,,33.39,2492.49
"D",4008,"05/01/2024",18,"ON",21.12,10.84,0.49,0.02,0,1.25,0.1,0,0.01,-0.1,0,,0.48,0.46,0.23,0,,34.9,2517.856
"D",4008,"05/01/2024",19,"ON",28.73,10.84,0.49,0.02,0.61,1.21,0,-0.02,0.02,-0.1,0,,0.48,0.46,0.23,0,,42.97,2526.979
"D",4008,"05/01/2024",20,"ON",34.15,10.84,0.49,0.02,0.11,1.18,0.01,0.01,-0.09,-0.1,0,,0.48,0.46,0.23,0,,47.79,2570.597
"D",4008,"05/01/2024",21,"ON",34.16,10.84,0.49,0.02,0,1.18,0,-0.05,-0.09,-0.1,0,,0.48,0.46,0.23,0,,47.62,2584.815
"D",4008,"05/01/2024",22,"ON",38.65,10.84,0.49,0.02,0.68,1.24,0.17,-0.04,0.14,-0.1,0,,0.48,0.46,0.23,0,,53.26,2480.461
"D",4008,"05/01/2024",23,"ON",25.99,10.84,0.49,0.02,0.27,1.36,0,-0.03,0.14,-0.1,0,,0.48,0.46,0.23,0,,40.15,2300.304
