Week ,crude_stocks
1/16/26,238044
1/9/26,237779
1/2/26,235616
12/26/25,238177
12/19/25,241062
12/12/25,241716
12/5/25,242806
11/28/25,246544
11/21/25,247021
11/14/25,241257
11/7/25,243315
10/31/25,237478
10/24/25,234313
10/17/25,244299
10/10/25,244582
10/3/25,244467
9/26/25,238342
9/19/25,234311
9/12/25,237426
9/5/25,244880
8/29/25,239388
8/22/25,239758
8/15/25,240911
8/8/25,248448
8/1/25,242232
7/25/25,243850
7/18/25,237802
7/11/25,238774
7/4/25,240749
6/27/25,234906
6/20/25,229864
6/13/25,234870
6/6/25,242627
5/30/25,245104
5/23/25,248248
5/16/25,251324
5/9/25,251322
5/2/25,249426
4/25/25,249716
4/18/25,253391
4/11/25,254405
4/4/25,254321
3/28/25,250622
3/21/25,248926
3/14/25,252319
3/7/25,248775
2/28/25,244787
2/21/25,243233
2/14/25,247315
2/7/25,243498
1/31/25,238999
1/24/25,232386
1/17/25,228158
1/10/25,230322
1/3/25,232423
12/27/24,227521
12/20/24,231481
12/13/24,233380
12/6/24,235093
11/29/24,235574
11/22/24,240549
11/15/24,242129
11/8/24,246198
11/1/24,243727
10/25/24,241561
10/18/24,244312
10/11/24,239936
10/4/24,239934
9/27/24,237011
9/20/24,234545
9/13/24,240751
9/6/24,239001
8/30/24,234443
8/23/24,240185
8/16/24,239672
8/9/24,243861
8/2/24,238296
7/26/24,242796
7/19/24,246858
7/12/24,248530
7/5/24,251458
6/28/24,257139
6/21/24,264305
6/14/24,262256
6/7/24,266673
5/31/24,260563
5/24/24,258217
5/17/24,261506
5/10/24,257882
5/3/24,259048
4/26/24,261577
4/19/24,254800
4/12/24,260917
4/5/24,257472
3/29/24,250372
3/22/24,248320
3/15/24,247865
3/8/24,248635
3/1/24,248260
2/23/24,250413
2/16/24,250264
2/9/24,248349
2/2/24,241374
1/26/24,235139
1/19/24,232043
1/12/24,235835
1/5/24,235465
12/29/23,234662
12/22/23,237654
12/15/23,248682
12/8/23,247895
12/1/23,250711
11/24/23,256369
11/17/23,257894
11/10/23,252373
11/3/23,253217
10/27/23,241784
10/20/23,242485
10/13/23,242753
10/6/23,245690
9/29/23,236353
9/22/23,237997
9/15/23,239077
9/8/23,238699
9/1/23,231423
8/25/23,234302
8/18/23,243462
8/11/23,243540
8/4/23,248471
7/28/23,243379
7/21/23,258953
7/14/23,256432
7/7/23,252468
6/30/23,244495
6/23/23,246264
6/16/23,254912
6/9/23,254296
6/2/23,248164
5/26/23,248973
5/19/23,244748
5/12/23,256187
5/5/23,253807
4/28/23,254925
4/21/23,259862
4/14/23,265294
4/7/23,267507
3/31/23,265595
3/24/23,268822
3/17/23,275211
3/10/23,272598
3/3/23,269857
2/24/23,267239
2/17/23,267926
2/10/23,263081
2/3/23,248582
1/27/23,248993
1/20/23,248918
1/13/23,250877
1/6/23,249493
12/30/22,233943
12/23/22,231664
12/16/22,230703
12/9/22,235270
12/2/22,226512
11/25/22,230132
11/18/22,241154
11/11/22,245033
11/4/22,247393
10/28/22,246030
10/21/22,249505
10/14/22,247725
10/7/22,249123
9/30/22,240843
9/23/22,241777
9/16/22,244654
9/9/22,242488
9/2/22,241314
8/26/22,231438
8/19/22,233140
8/12/22,234876
8/5/22,242364
7/29/22,237682
7/22/22,239341
7/15/22,241744
7/8/22,243454
7/1/22,241711
6/24/22,236152
6/17/22,236963
6/10/22,237361
6/3/22,235440
5/27/22,227393
5/20/22,234189
5/13/22,234077
5/6/22,233928
4/29/22,231835
4/22/22,228329
4/15/22,229068
4/8/22,232569
4/1/22,227705
3/25/22,225541
3/18/22,228052
3/11/22,234614
3/4/22,229255
2/25/22,230419
2/18/22,229772
2/11/22,224809
2/4/22,220652
1/28/22,222172
1/21/22,224872
1/14/22,222516
1/7/22,220327
12/31/21,223066
12/24/21,226538
12/17/21,230836
12/10/21,234144
12/3/21,237947
11/26/21,237154
11/19/21,239960
11/12/21,242578
11/5/21,247450
10/29/21,249348
10/22/21,247390
10/15/21,238768
10/8/21,236857
10/1/21,227843
9/24/21,227770
9/17/21,223902
9/10/21,224156
9/3/21,228007
8/27/21,230600
8/20/21,239570
8/13/21,240990
8/6/21,242852
7/30/21,241719
7/23/21,238618
7/16/21,238398
7/9/21,236498
7/2/21,241844
6/25/21,246253
6/18/21,251186
6/11/21,256259
