week,distilate_stock
1/16/26,50693
1/9/26,49937
1/2/26,50117
12/26/25,49685
12/19/25,48505
12/12/25,46377
12/5/25,45713
11/28/25,45436
11/21/25,46186
11/14/25,46477
11/7/25,44875
10/31/25,45675
10/24/25,45663
10/17/25,45086
10/10/25,44688
10/3/25,44806
9/26/25,44914
9/19/25,45218
9/12/25,47026
9/5/25,44165
8/29/25,44003
8/22/25,42750
8/15/25,45366
8/8/25,44319
8/1/25,43225
7/25/25,46132
7/18/25,43562
7/11/25,43157
7/4/25,40592
6/27/25,42674
6/20/25,43272
6/13/25,44293
6/6/25,43927
5/30/25,44133
5/23/25,42958
5/16/25,43166
5/9/25,42392
5/2/25,42730
4/25/25,41958
4/18/25,40559
4/11/25,40015
4/4/25,39721
3/28/25,41454
3/21/25,37619
3/14/25,37078
3/7/25,38393
2/28/25,39705
2/21/25,40967
2/14/25,37995
2/7/25,38567
1/31/25,39083
1/24/25,41056
1/17/25,43595
1/10/25,44959
1/3/25,41101
12/27/24,39718
12/20/24,38561
12/13/24,38458
12/6/24,40959
11/29/24,40278
11/22/24,40337
11/15/24,40841
11/8/24,41073
11/1/24,43298
10/25/24,40788
10/18/24,40008
10/11/24,40593
10/4/24,40969
9/27/24,41476
9/20/24,40302
9/13/24,43786
9/6/24,41542
8/30/24,42711
8/23/24,43867
8/16/24,43061
8/9/24,46309
8/2/24,46056
7/26/24,44696
7/19/24,44921
7/12/24,45666
7/5/24,45397
6/28/24,41963
6/21/24,43347
6/14/24,44877
6/7/24,45651
5/31/24,43512
5/24/24,44182
5/17/24,43700
5/10/24,42712
5/3/24,44191
4/26/24,42839
4/19/24,41282
4/12/24,38948
4/5/24,39361
3/29/24,38296
3/22/24,40077
3/15/24,41429
3/8/24,41157
3/1/24,36753
2/23/24,39116
2/16/24,38772
2/9/24,41606
2/2/24,44374
1/26/24,46311
1/19/24,47368
1/12/24,48029
1/5/24,46526
12/29/23,44554
12/22/23,41412
12/15/23,43408
12/8/23,43051
12/1/23,42829
11/24/23,42689
11/17/23,41445
11/10/23,40557
11/3/23,41671
10/27/23,43077
10/20/23,41157
10/13/23,42325
10/6/23,42466
9/29/23,43411
9/22/23,43542
9/15/23,41378
9/8/23,44492
9/1/23,42068
8/25/23,40910
8/18/23,41697
8/11/23,41754
8/4/23,42729
7/28/23,41986
7/21/23,43858
7/14/23,43805
7/7/23,43180
6/30/23,42539
6/23/23,44359
6/16/23,43730
6/9/23,44733
6/2/23,42358
5/26/23,40133
5/19/23,41045
5/12/23,39601
5/5/23,38701
4/28/23,41359
4/21/23,40861
4/14/23,40421
4/7/23,38716
3/31/23,39110
3/24/23,38900
3/17/23,37793
3/10/23,38888
3/3/23,39235
2/24/23,39359
2/17/23,39918
2/10/23,38666
2/3/23,41902
1/27/23,41376
1/20/23,38419
1/13/23,38236
1/6/23,37706
12/30/22,40520
12/23/22,42804
12/16/22,43444
12/9/22,44764
