week,gas_stocks
1/16/26,94621
1/9/26,94805
1/2/26,93324
12/26/25,91029
12/19/25,88067
12/12/25,87002
12/5/25,86656
11/28/25,85533
11/21/25,81294
11/14/25,79051
11/7/25,77562
10/31/25,76580
10/24/25,78382
10/17/25,78964
10/10/25,79311
10/3/25,79729
9/26/25,79790
9/19/25,78300
9/12/25,80240
9/5/25,81888
8/29/25,81298
8/22/25,83935
8/15/25,82990
8/8/25,85617
8/1/25,86177
7/25/25,87030
7/18/25,86665
7/11/25,85440
7/4/25,83434
6/27/25,86087
6/20/25,83561
6/13/25,87639
6/6/25,87169
5/30/25,87888
5/23/25,86912
5/16/25,84954
5/9/25,84128
5/2/25,82078
4/25/25,82610
4/18/25,83456
4/11/25,83877
4/4/25,84012
3/28/25,82961
3/21/25,82010
3/14/25,79850
3/7/25,77882
2/28/25,82056
2/21/25,82588
2/14/25,85590
2/7/25,86898
1/31/25,89654
1/24/25,91617
1/17/25,90794
1/10/25,87341
1/3/25,85430
12/27/24,86358
12/20/24,83346
12/13/24,82660
12/6/24,82755
11/29/24,81787
11/22/24,81971
11/15/24,79198
11/8/24,78760
11/1/24,80566
10/25/24,79062
10/18/24,79325
10/11/24,76242
10/4/24,76949
9/27/24,80586
9/20/24,81190
9/13/24,82889
9/6/24,78621
8/30/24,76952
8/23/24,76302
8/16/24,79103
8/9/24,80091
8/2/24,83228
7/26/24,83030
7/19/24,87058
7/12/24,88889
7/5/24,86062
6/28/24,86820
6/21/24,90003
6/14/24,88749
6/7/24,87201
5/31/24,86870
5/24/24,87046
5/17/24,83789
5/10/24,84610
5/3/24,83752
4/26/24,84983
4/19/24,85929
4/12/24,84441
4/5/24,84779
3/29/24,81127
3/22/24,80510
3/15/24,76580
3/8/24,78399
3/1/24,78987
2/23/24,82475
2/16/24,82982
2/9/24,84398
2/2/24,84656
1/26/24,89801
1/19/24,90589
1/12/24,90999
1/5/24,90192
12/29/23,87607
12/22/23,83573
12/15/23,86404
12/8/23,84600
12/1/23,87533
11/24/23,84953
11/17/23,84949
11/10/23,84731
11/3/23,85062
10/27/23,87023
10/20/23,86964
10/13/23,85117
10/6/23,85104
9/29/23,85732
9/22/23,84603
9/15/23,81278
9/8/23,82050
9/1/23,79550
8/25/23,80949
8/18/23,81855
8/11/23,81535
8/4/23,79886
7/28/23,81356
7/21/23,79576
7/14/23,81469
7/7/23,82514
6/30/23,84076
6/23/23,86245
6/16/23,82525
6/9/23,84996
6/2/23,83190
5/26/23,83898
5/19/23,85045
5/12/23,85750
5/5/23,85125
4/28/23,86015
4/21/23,83735
4/14/23,84735
4/7/23,83938
3/31/23,81585
3/24/23,81979
3/17/23,81982
3/10/23,85110
3/3/23,84874
2/24/23,86951
2/17/23,86805
2/10/23,88242
2/3/23,87715
1/27/23,85249
1/20/23,84416
1/13/23,85307
1/6/23,80860
12/30/22,80038
12/23/22,84096
12/16/22,85234
12/9/22,85679
12/2/22,83358
11/25/22,82949
11/18/22,82721
11/11/22,79597
11/4/22,77621
10/28/22,78943
10/21/22,78719
10/14/22,78065
10/7/22,79068
9/30/22,78611
9/23/22,82388
9/16/22,82435
9/9/22,82670
9/2/22,84615
8/26/22,83388
8/19/22,81398
8/12/22,83781
8/5/22,85940
7/29/22,88155
7/22/22,86759
7/15/22,86244
7/8/22,85499
7/1/22,82995
6/24/22,83862
6/17/22,83315
6/10/22,82661
6/3/22,83222
5/27/22,86634
5/20/22,83803
5/13/22,83908
5/6/22,85578
4/29/22,87155
4/22/22,89280
4/15/22,86905
4/8/22,85979
4/1/22,86107
3/25/22,86701
3/18/22,85415
3/11/22,84883
3/4/22,85713
2/25/22,85570
2/18/22,84905
2/11/22,84313
2/4/22,86052
1/28/22,85300
1/21/22,85313
1/14/22,85719
1/7/22,82854
12/31/21,81903
12/24/21,80512
12/17/21,80299
12/10/21,78956
12/3/21,81143
11/26/21,81079
11/19/21,78690
11/12/21,79168
11/5/21,79645
10/29/21,81460
10/22/21,79910
10/15/21,80912
10/8/21,82448
10/1/21,82035
9/24/21,82341
9/17/21,81522
9/10/21,79996
9/3/21,81805
8/27/21,84961
8/20/21,84903
8/13/21,84690
8/6/21,82575
7/30/21,82068
7/23/21,82445
7/16/21,81531
7/9/21,81104
7/2/21,80484
6/25/21,85189
6/18/21,85523
6/11/21,89805
6/4/21,90709
5/28/21,88823
5/21/21,89156
5/14/21,91417
5/7/21,85684
4/30/21,85708
4/23/21,83600
4/16/21,81764
4/9/21,82713
4/2/21,80443
3/26/21,79605
3/19/21,77836
3/12/21,76954
3/5/21,76187
2/26/21,79849
2/19/21,90877
2/12/21,90073
2/5/21,89700
1/29/21,87701
1/22/21,83633
1/15/21,82777
1/8/21,82743
1/1/21,82087
12/25/20,81953
12/18/20,80733
12/11/20,81063
12/4/20,80735
11/27/20,82059
11/20/20,79406
