"C","Hourly Wholesale Load Cost Report"
"C","Filename: whlsecost_hourly_4000_202409.csv"
"C","Report for: 09 2024"
"C","Report generated: 03/08/2025 14:30:25 EST"
"H","Location ID","Local Date","Local Hour","OnOffPeak","Total Cost","RTLO"
"H","Number","Date","Number","String","Number","Number"
"D",4000,"09/01/2024",01,"OFF",57.21,12044.623
"D",4000,"09/01/2024",02,"OFF",42.77,11556.423
"D",4000,"09/01/2024",03,"OFF",36.47,11186.235
"D",4000,"09/01/2024",04,"OFF",35.42,11275.325
"D",4000,"09/01/2024",05,"OFF",35.42,11199.733
"D",4000,"09/01/2024",06,"OFF",35.30,11055.704
"D",4000,"09/01/2024",07,"OFF",35.57,11362.693
"D",4000,"09/01/2024",08,"OFF",35.83,11893.811
"D",4000,"09/01/2024",09,"OFF",38.44,12576.995
"D",4000,"09/01/2024",10,"OFF",52.86,13149.568
"D",4000,"09/01/2024",11,"OFF",38.33,13645.990
"D",4000,"09/01/2024",12,"OFF",39.88,14176.023
"D",4000,"09/01/2024",13,"OFF",41.50,14694.585
"D",4000,"09/01/2024",14,"OFF",41.48,15028.028
"D",4000,"09/01/2024",15,"OFF",49.40,15387.502
"D",4000,"09/01/2024",16,"OFF",43.48,15735.208
"D",4000,"09/01/2024",17,"OFF",39.52,16221.813
"D",4000,"09/01/2024",18,"OFF",38.89,16682.944
"D",4000,"09/01/2024",19,"OFF",44.37,16743.184
"D",4000,"09/01/2024",20,"OFF",42.99,16562.139
"D",4000,"09/01/2024",21,"OFF",55.80,16232.460
"D",4000,"09/01/2024",22,"OFF",51.24,15492.368
"D",4000,"09/01/2024",23,"OFF",55.77,14537.302
"D",4000,"09/01/2024",24,"OFF",61.14,13531.505
"D",4000,"09/02/2024",01,"OFF",47.39,12645.332
"D",4000,"09/02/2024",02,"OFF",51.72,11976.845
"D",4000,"09/02/2024",03,"OFF",46.73,11749.903
"D",4000,"09/02/2024",04,"OFF",42.29,11352.210
"D",4000,"09/02/2024",05,"OFF",38.24,11257.525
"D",4000,"09/02/2024",06,"OFF",38.52,11350.376
"D",4000,"09/02/2024",07,"OFF",37.29,11217.001
"D",4000,"09/02/2024",08,"OFF",37.36,11372.992
"D",4000,"09/02/2024",09,"OFF",37.05,11632.604
"D",4000,"09/02/2024",10,"OFF",36.95,11843.830
"D",4000,"09/02/2024",11,"OFF",35.85,11955.472
"D",4000,"09/02/2024",12,"OFF",35.62,12156.898
"D",4000,"09/02/2024",13,"OFF",35.90,12518.489
"D",4000,"09/02/2024",14,"OFF",36.62,12940.747
"D",4000,"09/02/2024",15,"OFF",35.53,13243.013
"D",4000,"09/02/2024",16,"OFF",35.23,13747.154
"D",4000,"09/02/2024",17,"OFF",38.63,14405.326
"D",4000,"09/02/2024",18,"OFF",47.63,15084.819
"D",4000,"09/02/2024",19,"OFF",46.09,15078.985
"D",4000,"09/02/2024",20,"OFF",58.71,14865.339
"D",4000,"09/02/2024",21,"OFF",52.95,14319.307
"D",4000,"09/02/2024",22,"OFF",38.97,13276.606
"D",4000,"09/02/2024",23,"OFF",36.64,12040.852
"D",4000,"09/02/2024",24,"OFF",35.09,10948.084
"D",4000,"09/03/2024",01,"OFF",34.75,10585.960
"D",4000,"09/03/2024",02,"OFF",34.81,10348.605
"D",4000,"09/03/2024",03,"OFF",33.72,10249.869
"D",4000,"09/03/2024",04,"OFF",33.89,10113.669
"D",4000,"09/03/2024",05,"OFF",33.89,10273.057
"D",4000,"09/03/2024",06,"OFF",34.82,11024.158
"D",4000,"09/03/2024",07,"OFF",35.60,11297.217
"D",4000,"09/03/2024",08,"ON",39.71,11712.143
"D",4000,"09/03/2024",09,"ON",38.12,11580.520
"D",4000,"09/03/2024",10,"ON",37.22,11329.131
"D",4000,"09/03/2024",11,"ON",37.41,11123.279
"D",4000,"09/03/2024",12,"ON",36.76,11133.123
"D",4000,"09/03/2024",13,"ON",36.34,11204.349
"D",4000,"09/03/2024",14,"ON",36.82,11496.362
"D",4000,"09/03/2024",15,"ON",37.27,11933.910
"D",4000,"09/03/2024",16,"ON",36.97,12800.664
"D",4000,"09/03/2024",17,"ON",39.65,13444.992
"D",4000,"09/03/2024",18,"ON",57.18,14328.700
"D",4000,"09/03/2024",19,"ON",63.46,14606.004
"D",4000,"09/03/2024",20,"ON",62.63,14500.317
"D",4000,"09/03/2024",21,"ON",52.00,13960.158
"D",4000,"09/03/2024",22,"ON",54.07,12973.281
"D",4000,"09/03/2024",23,"ON",41.49,11824.847
"D",4000,"09/03/2024",24,"OFF",36.97,10850.540
"D",4000,"09/04/2024",01,"OFF",57.02,10724.041
"D",4000,"09/04/2024",02,"OFF",51.66,10397.956
"D",4000,"09/04/2024",03,"OFF",38.74,10353.654
"D",4000,"09/04/2024",04,"OFF",38.73,10246.242
"D",4000,"09/04/2024",05,"OFF",38.74,10442.357
"D",4000,"09/04/2024",06,"OFF",38.45,10519.438
"D",4000,"09/04/2024",07,"OFF",63.85,11360.529
"D",4000,"09/04/2024",08,"ON",66.63,11897.165
"D",4000,"09/04/2024",09,"ON",41.18,12004.131
"D",4000,"09/04/2024",10,"ON",40.21,12038.421
"D",4000,"09/04/2024",11,"ON",43.25,11994.338
"D",4000,"09/04/2024",12,"ON",42.10,12047.243
"D",4000,"09/04/2024",13,"ON",42.35,12285.242
"D",4000,"09/04/2024",14,"ON",46.67,12645.004
"D",4000,"09/04/2024",15,"ON",45.41,13154.178
"D",4000,"09/04/2024",16,"ON",46.71,13625.277
"D",4000,"09/04/2024",17,"ON",65.81,14520.546
"D",4000,"09/04/2024",18,"ON",54.11,15316.972
"D",4000,"09/04/2024",19,"ON",65.28,15419.469
"D",4000,"09/04/2024",20,"ON",66.75,15295.965
"D",4000,"09/04/2024",21,"ON",52.53,14708.305
"D",4000,"09/04/2024",22,"ON",46.11,13640.731
"D",4000,"09/04/2024",23,"ON",45.13,12439.520
"D",4000,"09/04/2024",24,"OFF",42.19,11355.475
"D",4000,"09/05/2024",01,"OFF",38.33,10804.359
"D",4000,"09/05/2024",02,"OFF",47.84,10945.530
"D",4000,"09/05/2024",03,"OFF",39.33,10868.081
"D",4000,"09/05/2024",04,"OFF",39.85,10805.257
"D",4000,"09/05/2024",05,"OFF",41.30,10954.754
"D",4000,"09/05/2024",06,"OFF",65.17,11384.357
"D",4000,"09/05/2024",07,"OFF",65.53,11683.927
"D",4000,"09/05/2024",08,"ON",53.31,12177.770
"D",4000,"09/05/2024",09,"ON",52.49,12194.055
"D",4000,"09/05/2024",10,"ON",40.18,12100.771
"D",4000,"09/05/2024",11,"ON",40.50,12249.457
"D",4000,"09/05/2024",12,"ON",40.52,11973.664
"D",4000,"09/05/2024",13,"ON",39.67,12034.286
"D",4000,"09/05/2024",14,"ON",39.56,12482.415
"D",4000,"09/05/2024",15,"ON",39.37,12907.441
"D",4000,"09/05/2024",16,"ON",39.09,13578.835
"D",4000,"09/05/2024",17,"ON",48.42,14361.820
"D",4000,"09/05/2024",18,"ON",56.31,15077.924
"D",4000,"09/05/2024",19,"ON",63.88,15114.918
"D",4000,"09/05/2024",20,"ON",65.34,14988.518
"D",4000,"09/05/2024",21,"ON",54.89,14478.294
"D",4000,"09/05/2024",22,"ON",52.72,13489.044
"D",4000,"09/05/2024",23,"ON",43.23,12403.629
"D",4000,"09/05/2024",24,"OFF",37.65,11392.479
"D",4000,"09/06/2024",01,"OFF",37.88,11096.265
"D",4000,"09/06/2024",02,"OFF",38.29,11097.074
"D",4000,"09/06/2024",03,"OFF",38.67,11018.079
"D",4000,"09/06/2024",04,"OFF",38.74,10921.850
"D",4000,"09/06/2024",05,"OFF",38.79,11034.997
"D",4000,"09/06/2024",06,"OFF",42.57,11364.398
"D",4000,"09/06/2024",07,"OFF",51.37,11936.487
"D",4000,"09/06/2024",08,"ON",65.61,12612.650
"D",4000,"09/06/2024",09,"ON",67.41,12960.514
"D",4000,"09/06/2024",10,"ON",66.35,13114.975
"D",4000,"09/06/2024",11,"ON",60.73,13144.005
"D",4000,"09/06/2024",12,"ON",46.14,13120.358
"D",4000,"09/06/2024",13,"ON",40.98,13085.341
"D",4000,"09/06/2024",14,"ON",43.10,13262.575
"D",4000,"09/06/2024",15,"ON",42.91,13420.369
"D",4000,"09/06/2024",16,"ON",43.96,13778.917
"D",4000,"09/06/2024",17,"ON",44.85,14289.602
"D",4000,"09/06/2024",18,"ON",51.37,14803.573
"D",4000,"09/06/2024",19,"ON",61.55,14835.693
"D",4000,"09/06/2024",20,"ON",62.87,14769.132
"D",4000,"09/06/2024",21,"ON",61.13,14304.348
"D",4000,"09/06/2024",22,"ON",52.96,13422.526
"D",4000,"09/06/2024",23,"ON",49.62,12476.221
"D",4000,"09/06/2024",24,"OFF",46.87,11743.139
"D",4000,"09/07/2024",01,"OFF",45.23,11031.054
"D",4000,"09/07/2024",02,"OFF",67.51,10521.411
"D",4000,"09/07/2024",03,"OFF",46.14,10409.876
"D",4000,"09/07/2024",04,"OFF",41.94,10222.036
"D",4000,"09/07/2024",05,"OFF",43.27,10509.324
"D",4000,"09/07/2024",06,"OFF",46.54,11010.750
"D",4000,"09/07/2024",07,"OFF",42.31,11068.692
"D",4000,"09/07/2024",08,"OFF",44.61,11126.582
"D",4000,"09/07/2024",09,"OFF",44.30,11283.245
"D",4000,"09/07/2024",10,"OFF",40.74,11565.120
"D",4000,"09/07/2024",11,"OFF",40.66,11832.111
"D",4000,"09/07/2024",12,"OFF",44.35,11924.168
"D",4000,"09/07/2024",13,"OFF",65.42,12429.609
"D",4000,"09/07/2024",14,"OFF",59.09,12803.338
"D",4000,"09/07/2024",15,"OFF",44.66,13001.748
"D",4000,"09/07/2024",16,"OFF",61.98,13290.746
"D",4000,"09/07/2024",17,"OFF",56.01,13603.761
"D",4000,"09/07/2024",18,"OFF",46.02,13888.196
"D",4000,"09/07/2024",19,"OFF",49.07,13887.074
"D",4000,"09/07/2024",20,"OFF",57.12,13797.977
"D",4000,"09/07/2024",21,"OFF",51.52,13351.962
"D",4000,"09/07/2024",22,"OFF",47.47,12566.310
"D",4000,"09/07/2024",23,"OFF",45.94,11424.187
"D",4000,"09/07/2024",24,"OFF",59.16,10887.383
"D",4000,"09/08/2024",01,"OFF",37.87,10255.000
"D",4000,"09/08/2024",02,"OFF",37.35,9910.785
"D",4000,"09/08/2024",03,"OFF",37.55,9683.992
"D",4000,"09/08/2024",04,"OFF",37.84,9469.447
"D",4000,"09/08/2024",05,"OFF",38.17,9333.569
"D",4000,"09/08/2024",06,"OFF",39.02,9225.303
"D",4000,"09/08/2024",07,"OFF",42.75,9471.044
"D",4000,"09/08/2024",08,"OFF",42.69,9754.754
"D",4000,"09/08/2024",09,"OFF",35.31,10120.730
"D",4000,"09/08/2024",10,"OFF",31.03,10534.043
"D",4000,"09/08/2024",11,"OFF",30.87,10602.682
"D",4000,"09/08/2024",12,"OFF",19.71,10599.304
"D",4000,"09/08/2024",13,"OFF",32.68,10806.055
"D",4000,"09/08/2024",14,"OFF",33.75,11243.489
"D",4000,"09/08/2024",15,"OFF",23.74,11376.112
"D",4000,"09/08/2024",16,"OFF",30.85,11757.348
"D",4000,"09/08/2024",17,"OFF",34.85,11779.355
"D",4000,"09/08/2024",18,"OFF",39.98,12734.454
"D",4000,"09/08/2024",19,"OFF",50.05,13129.876
"D",4000,"09/08/2024",20,"OFF",42.46,13202.191
"D",4000,"09/08/2024",21,"OFF",49.68,12784.200
"D",4000,"09/08/2024",22,"OFF",40.09,11782.335
"D",4000,"09/08/2024",23,"OFF",35.62,10866.235
"D",4000,"09/08/2024",24,"OFF",33.49,10363.523
"D",4000,"09/09/2024",01,"OFF",34.36,10601.566
"D",4000,"09/09/2024",02,"OFF",35.10,10259.635
"D",4000,"09/09/2024",03,"OFF",35.10,10090.583
"D",4000,"09/09/2024",04,"OFF",34.88,10042.435
"D",4000,"09/09/2024",05,"OFF",35.29,10206.730
"D",4000,"09/09/2024",06,"OFF",35.24,10217.203
"D",4000,"09/09/2024",07,"OFF",37.04,11294.935
"D",4000,"09/09/2024",08,"ON",45.98,11746.757
"D",4000,"09/09/2024",09,"ON",38.22,11557.812
"D",4000,"09/09/2024",10,"ON",36.57,11324.868
"D",4000,"09/09/2024",11,"ON",36.86,11141.682
"D",4000,"09/09/2024",12,"ON",36.79,11115.408
"D",4000,"09/09/2024",13,"ON",37.50,11277.015
