"C","Hourly Wholesale Load Cost Report"
"C","Filename: whlsecost_hourly_4001_202411.csv"
"C","Report for: 11 2024"
"C","Report generated: 03/08/2025 14:30:31 EST"
"H","Location ID","Local Date","Local Hour","OnOffPeak","RTLMP","Capacity","First Contingency","Second Contingency","Regulation","Forward Reserves","Real-Time Reserves","Inadvertent","Marginal Loss Rev Fund","Auction Rev Rights","Real-Time Demand Reduction Cost","Price Responsive Demand Cost","ISO Sched 2","ISO Sched 3","NEPOOL Exp","Inventory Energy Program Cost","DA Ancillary Service Cost","Total Cost","RTLO"
"H","Number","Date","Number","String","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number"
"D",4001,"11/01/2024",01,"OFF",22.12,7.39,0.13,0.03,0.22,0,0,0.01,-0.14,-0.18,0,,0.48,0.47,0.23,0,,30.76,956.384
"D",4001,"11/01/2024",02,"OFF",24.03,7.39,0.13,0.03,0.22,0,0,0.02,-0.23,-0.18,0,,0.48,0.47,0.23,0,,32.59,940.425
"D",4001,"11/01/2024",03,"OFF",24.19,7.39,0.13,0.03,0.2,0,0,0.02,-0.27,-0.18,0,,0.48,0.47,0.23,0,,32.69,926.715
"D",4001,"11/01/2024",04,"OFF",23.51,7.39,0.13,0.03,0.01,0,0,0.02,-0.32,-0.18,0,,0.48,0.47,0.23,0,,31.77,919.676
"D",4001,"11/01/2024",05,"OFF",25.65,7.39,0.13,0.03,0.18,0,0,-0.02,-0.39,-0.18,0,,0.48,0.47,0.23,0,,33.97,944.613
"D",4001,"11/01/2024",06,"OFF",23.43,7.39,0.13,0.03,0.29,0,0,0.03,-0.35,-0.18,0,,0.48,0.47,0.23,0,,31.95,1023.641
"D",4001,"11/01/2024",07,"OFF",37.73,7.39,0.13,0.03,0.43,0,0,0.02,-0.3,-0.18,0,,0.48,0.47,0.23,0,,46.43,1155.263
"D",4001,"11/01/2024",08,"ON",39.34,7.39,0.13,0.03,0.34,1.14,0,0.02,-0.48,-0.18,0,,0.48,0.47,0.23,0,,48.91,1230.403
"D",4001,"11/01/2024",09,"ON",35.89,7.39,0.13,0.03,0.21,1.1,0,0,-0.84,-0.18,0,,0.48,0.47,0.23,0,,44.91,1264.944
"D",4001,"11/01/2024",10,"ON",41.97,7.39,0.13,0.03,0.2,1.09,0,0,-1.04,-0.18,0,,0.48,0.47,0.23,0,,50.77,1255.545
"D",4001,"11/01/2024",11,"ON",48.26,7.39,0.13,0.03,0.88,1.1,0,-0.01,-1,-0.18,0,,0.48,0.47,0.23,0,,57.78,1241.843
"D",4001,"11/01/2024",12,"ON",42.04,7.39,0.13,0.03,0.48,1.15,0.07,-0.05,-0.65,-0.18,0,,0.48,0.47,0.23,0,,51.59,1132.192
"D",4001,"11/01/2024",13,"ON",23.45,7.39,0.13,0.03,0.16,1.2,0,0.02,-0.22,-0.18,0,,0.48,0.47,0.23,0,,33.16,1058.567
"D",4001,"11/01/2024",14,"ON",22.32,7.39,0.13,0.03,0.03,1.2,0,-0.01,-0.29,-0.18,0,,0.48,0.47,0.23,0,,31.8,1040.906
"D",4001,"11/01/2024",15,"ON",22.22,7.39,0.13,0.03,0.74,1.19,0,0.05,-0.23,-0.18,0,,0.48,0.47,0.23,0,,32.52,1070.493
