"C","Hourly Wholesale Load Cost Report"
"C","Filename: whlsecost_hourly_4008_202406.csv"
"C","Report for: 06 2024"
"C","Report generated: 03/08/2025 14:29:35 EST"
"H","Location ID","Local Date","Local Hour","OnOffPeak","RTLMP","Capacity","First Contingency","Second Contingency","Regulation","Forward Reserves","Real-Time Reserves","Inadvertent","Marginal Loss Rev Fund","Auction Rev Rights","Real-Time Demand Reduction Cost","Price Responsive Demand Cost","ISO Sched 2","ISO Sched 3","NEPOOL Exp","Inventory Energy Program Cost","DA Ancillary Service Cost","Total Cost","RTLO"
"H","Number","Date","Number","String","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number"
"D",4008,"06/01/2024",01,"OFF",19.32,14.78,0.15,0.04,0.04,0,0.01,-0.03,-0.14,-0.08,0,,0.48,0.47,0.23,0,,35.27,2066.741
"D",4008,"06/01/2024",02,"OFF",18.59,14.78,0.15,0.04,0,0,0,-0.02,-0.12,-0.08,0,,0.48,0.47,0.23,0,,34.52,1962.839
"D",4008,"06/01/2024",03,"OFF",17.91,14.78,0.15,0.04,0,0,0,-0.01,-0.13,-0.08,0,,0.48,0.47,0.23,0,,33.84,1893.164
"D",4008,"06/01/2024",04,"OFF",17.56,14.78,0.15,0.04,0,0,0,-0.01,-0.13,-0.08,0,,0.48,0.47,0.23,0,,33.49,1855.384
"D",4008,"06/01/2024",05,"OFF",17.53,14.78,0.15,0.04,0,0,0,-0.01,-0.12,-0.08,0,,0.48,0.47,0.23,0,,33.47,1848.497
"D",4008,"06/01/2024",06,"OFF",17.09,14.78,0.15,0.04,0,0,0,0.01,-0.12,-0.08,0,,0.48,0.47,0.23,0,,33.05,1858.93
"D",4008,"06/01/2024",07,"OFF",16.05,14.78,0.15,0.04,0.04,0,0,-0.01,-0.12,-0.08,0,,0.48,0.47,0.23,0,,32.03,1922.731
"D",4008,"06/01/2024",08,"OFF",15.1,14.78,0.15,0.04,0.09,0,0,0,-0.14,-0.08,0,,0.48,0.47,0.23,0,,31.12,2016.558
"D",4008,"06/01/2024",09,"OFF",12.17,14.78,0.15,0.04,0.42,0,0,0.02,-0.1,-0.08,0,,0.48,0.47,0.23,0,,28.58,2112.761
"D",4008,"06/01/2024",10,"OFF",3.38,14.78,0.15,0.04,0.04,0,0,0,-0.04,-0.08,0,,0.48,0.47,0.23,0,,19.45,2181.834
"D",4008,"06/01/2024",11,"OFF",14.23,14.78,0.15,0.04,0,0,0,-0.01,-0.1,-0.08,0,,0.48,0.47,0.23,0,,30.19,2226.73
"D",4008,"06/01/2024",12,"OFF",16.92,14.78,0.15,0.04,0.02,0,0,-0.02,-0.08,-0.08,0,,0.48,0.47,0.23,0,,32.91,2277.717
"D",4008,"06/01/2024",13,"OFF",17.82,14.78,0.15,0.04,0,0,0,0.02,-0.11,-0.08,0,,0.48,0.47,0.23,0,,33.8,2311.683
"D",4008,"06/01/2024",14,"OFF",17.09,14.78,0.15,0.04,0,0,0,-0.01,-0.09,-0.08,0,,0.48,0.47,0.23,0,,33.06,2352.083
"D",4008,"06/01/2024",15,"OFF",16.35,14.78,0.15,0.04,0,0,0,0.02,-0.08,-0.08,0,,0.48,0.47,0.23,0,,32.36,2428.051
"D",4008,"06/01/2024",16,"OFF",15.97,14.78,0.15,0.04,0,0,0,0.01,-0.09,-0.08,0,,0.48,0.47,0.23,0,,31.96,2533.999
"D",4008,"06/01/2024",17,"OFF",16.19,14.78,0.15,0.04,0.07,0,0,0.03,-0.14,-0.08,0,,0.48,0.47,0.23,0,,32.22,2672.657
"D",4008,"06/01/2024",18,"OFF",22.9,14.78,0.15,0.04,0.01,0,0.01,0,0,-0.08,0,,0.48,0.47,0.23,0,,38.99,2798.115
"D",4008,"06/01/2024",19,"OFF",39.15,14.78,0.15,0.04,0,0,0.27,-0.09,-0.07,-0.08,0.05,,0.48,0.47,0.23,0,,55.38,2847.131
"D",4008,"06/01/2024",20,"OFF",29.74,14.78,0.15,0.04,0,0,0.06,-0.09,-0.19,-0.08,0.01,,0.48,0.47,0.23,0,,45.6,2792.276
"D",4008,"06/01/2024",21,"OFF",34.05,14.78,0.15,0.04,0,0,0.26,-0.15,-0.14,-0.08,0,,0.48,0.47,0.23,0,,50.09,2740.549
"D",4008,"06/01/2024",22,"OFF",26.66,14.78,0.15,0.04,0,0,0.03,-0.07,0.1,-0.08,0,,0.48,0.47,0.23,0,,42.79,2641.116
"D",4008,"06/01/2024",23,"OFF",17.53,14.78,0.15,0.04,0.07,0,0,-0.09,-0.06,-0.08,0,,0.48,0.47,0.23,0,,33.52,2485.349
"D",4008,"06/01/2024",24,"OFF",15.76,14.78,0.15,0.04,0.31,0,0,-0.03,-0.08,-0.08,0,,0.48,0.47,0.23,0,,32.03,2302.782
"D",4008,"06/02/2024",01,"OFF",18.48,14.78,0.3,0.07,0.17,0,0,-0.04,-0.06,-0.08,0,,0.48,0.47,0.23,0,,34.8,2148.149
"D",4008,"06/02/2024",02,"OFF",16.65,14.78,0.3,0.07,0.02,0,0,-0.03,-0.05,-0.08,0,,0.48,0.47,0.23,0,,32.84,2034.478
"D",4008,"06/02/2024",03,"OFF",14.65,14.78,0.3,0.07,0,0,0,-0.01,-0.04,-0.08,0,,0.48,0.47,0.23,0,,30.85,1949.123
"D",4008,"06/02/2024",04,"OFF",16.85,14.78,0.3,0.07,0,0,0,-0.03,-0.05,-0.08,0,,0.48,0.47,0.23,0,,33.02,1890.894
"D",4008,"06/02/2024",05,"OFF",16.58,14.78,0.3,0.07,0,0,0,-0.08,0.07,-0.08,0,,0.48,0.47,0.23,0,,32.82,1868.821
